q4,q8,q12,q13,DM4,DM10,q12_pos,q13_bin
3.0,3.0,1.0,1.0,3.0,1.0,1.0,1
3.0,3.0,2.0,2.0,3.0,1.0,2.0,0
3.0,3.0,2.0,1.0,4.0,1.0,2.0,1
,,1.0,1.0,3.0,2.0,1.0,1
1.0,1.0,3.0,1.0,4.0,1.0,3.0,1
1.0,2.0,4.0,1.0,2.0,1.0,4.0,1
1.0,1.0,4.0,1.0,3.0,1.0,4.0,1
,,3.0,2.0,3.0,1.0,3.0,0
2.0,1.0,4.0,1.0,3.0,1.0,4.0,1
1.0,2.0,2.0,1.0,3.0,1.0,2.0,1
3.0,4.0,4.0,2.0,4.0,3.0,4.0,0
1.0,2.0,4.0,1.0,3.0,3.0,4.0,1
2.0,2.0,4.0,1.0,3.0,1.0,4.0,1
2.0,2.0,4.0,2.0,3.0,1.0,4.0,0
,,3.0,2.0,3.0,1.0,3.0,0
3.0,1.0,3.0,1.0,1.0,1.0,3.0,1
4.0,2.0,4.0,2.0,4.0,1.0,4.0,0
,,3.0,2.0,3.0,1.0,3.0,0
2.0,1.0,4.0,2.0,3.0,1.0,4.0,0
1.0,1.0,2.0,1.0,1.0,3.0,2.0,1
3.0,3.0,2.0,1.0,3.0,3.0,2.0,1
1.0,1.0,1.0,3.0,2.0,1.0,1.0,0
,,3.0,2.0,3.0,1.0,3.0,0
3.0,3.0,1.0,2.0,3.0,2.0,1.0,0
2.0,1.0,1.0,3.0,3.0,1.0,1.0,0
3.0,3.0,1.0,3.0,4.0,1.0,1.0,0
1.0,1.0,5.0,1.0,3.0,1.0,5.0,1
2.0,1.0,5.0,1.0,3.0,1.0,5.0,1
,,2.0,1.0,3.0,3.0,2.0,1
3.0,3.0,2.0,1.0,3.0,2.0,2.0,1
1.0,1.0,2.0,1.0,1.0,2.0,2.0,1
1.0,2.0,2.0,2.0,3.0,2.0,2.0,0
3.0,4.0,1.0,3.0,3.0,1.0,1.0,0
1.0,3.0,2.0,3.0,3.0,1.0,2.0,0
2.0,4.0,3.0,2.0,3.0,1.0,3.0,0
1.0,2.0,4.0,2.0,3.0,1.0,4.0,0
1.0,2.0,2.0,2.0,3.0,2.0,2.0,0
3.0,4.0,3.0,2.0,4.0,3.0,3.0,0
2.0,3.0,2.0,1.0,2.0,1.0,2.0,1
4.0,4.0,1.0,1.0,3.0,1.0,1.0,1
3.0,3.0,3.0,2.0,2.0,1.0,3.0,0
2.0,2.0,4.0,2.0,2.0,1.0,4.0,0
2.0,3.0,2.0,3.0,2.0,3.0,2.0,0
1.0,2.0,3.0,1.0,1.0,1.0,3.0,1
3.0,3.0,1.0,1.0,3.0,3.0,1.0,1
1.0,1.0,5.0,1.0,3.0,1.0,5.0,1
1.0,1.0,5.0,1.0,3.0,1.0,5.0,1
3.0,3.0,1.0,1.0,4.0,1.0,1.0,1
4.0,4.0,3.0,2.0,3.0,1.0,3.0,0
2.0,1.0,3.0,1.0,3.0,1.0,3.0,1
2.0,2.0,4.0,3.0,3.0,1.0,4.0,0
2.0,2.0,2.0,3.0,3.0,1.0,2.0,0
3.0,3.0,2.0,1.0,3.0,1.0,2.0,1
2.0,2.0,1.0,1.0,3.0,1.0,1.0,1
2.0,2.0,3.0,1.0,3.0,1.0,3.0,1
3.0,3.0,2.0,2.0,3.0,1.0,2.0,0
2.0,2.0,5.0,2.0,2.0,1.0,5.0,0
2.0,2.0,4.0,1.0,3.0,1.0,4.0,1
3.0,3.0,2.0,3.0,3.0,1.0,2.0,0
3.0,3.0,3.0,1.0,1.0,1.0,3.0,1
2.0,2.0,2.0,2.0,3.0,1.0,2.0,0
2.0,2.0,2.0,2.0,2.0,1.0,2.0,0
3.0,3.0,2.0,1.0,2.0,1.0,2.0,1
1.0,1.0,5.0,1.0,3.0,1.0,5.0,1
,,3.0,2.0,3.0,1.0,3.0,0
2.0,2.0,2.0,2.0,1.0,1.0,2.0,0
,,3.0,2.0,3.0,1.0,3.0,0
1.0,1.0,5.0,1.0,2.0,1.0,5.0,1
2.0,3.0,3.0,2.0,2.0,1.0,3.0,0
2.0,2.0,2.0,2.0,2.0,1.0,2.0,0
2.0,3.0,2.0,2.0,2.0,1.0,2.0,0
2.0,3.0,3.0,2.0,2.0,1.0,3.0,0
3.0,1.0,1.0,2.0,3.0,3.0,1.0,0
1.0,2.0,4.0,1.0,3.0,1.0,4.0,1
2.0,2.0,4.0,2.0,3.0,1.0,4.0,0
2.0,2.0,1.0,1.0,3.0,1.0,1.0,1
,,3.0,2.0,1.0,3.0,3.0,0
1.0,1.0,1.0,1.0,3.0,2.0,1.0,1
3.0,2.0,1.0,3.0,3.0,1.0,1.0,0
,,2.0,3.0,3.0,1.0,2.0,0
4.0,4.0,1.0,3.0,4.0,1.0,1.0,0
,,3.0,2.0,1.0,3.0,3.0,0
2.0,2.0,4.0,2.0,3.0,1.0,4.0,0
2.0,2.0,4.0,2.0,3.0,1.0,4.0,0
,,2.0,2.0,3.0,1.0,2.0,0
3.0,3.0,3.0,3.0,3.0,1.0,3.0,0
,,2.0,3.0,4.0,1.0,2.0,0
,1.0,2.0,3.0,3.0,3.0,2.0,0
2.0,2.0,3.0,2.0,3.0,1.0,3.0,0
3.0,2.0,3.0,2.0,3.0,1.0,3.0,0
2.0,2.0,1.0,1.0,3.0,1.0,1.0,1
,,3.0,2.0,3.0,1.0,3.0,0
2.0,2.0,1.0,3.0,3.0,1.0,1.0,0
2.0,2.0,4.0,2.0,3.0,1.0,4.0,0
2.0,2.0,4.0,2.0,3.0,1.0,4.0,0
3.0,3.0,4.0,1.0,2.0,2.0,4.0,1
2.0,2.0,2.0,2.0,3.0,3.0,2.0,0
2.0,2.0,2.0,1.0,1.0,3.0,2.0,1
4.0,4.0,2.0,2.0,4.0,2.0,2.0,0
2.0,2.0,4.0,2.0,3.0,1.0,4.0,0
4.0,3.0,1.0,1.0,3.0,2.0,1.0,1
2.0,3.0,2.0,3.0,3.0,1.0,2.0,0
1.0,1.0,4.0,2.0,4.0,3.0,4.0,0
3.0,,1.0,2.0,2.0,1.0,1.0,0
3.0,4.0,1.0,2.0,3.0,1.0,1.0,0
4.0,4.0,3.0,2.0,3.0,3.0,3.0,0
1.0,1.0,5.0,1.0,3.0,1.0,5.0,1
,,2.0,3.0,3.0,1.0,2.0,0
,,3.0,1.0,3.0,1.0,3.0,1
1.0,2.0,5.0,1.0,3.0,1.0,5.0,1
1.0,1.0,5.0,1.0,3.0,1.0,5.0,1
2.0,2.0,3.0,2.0,3.0,1.0,3.0,0
1.0,1.0,2.0,1.0,3.0,1.0,2.0,1
2.0,2.0,2.0,2.0,1.0,1.0,2.0,0
4.0,3.0,4.0,2.0,3.0,3.0,4.0,0
,,1.0,2.0,3.0,3.0,1.0,0
,,1.0,2.0,3.0,2.0,1.0,0
2.0,4.0,2.0,3.0,3.0,1.0,2.0,0
2.0,3.0,3.0,1.0,4.0,3.0,3.0,1
2.0,2.0,2.0,2.0,2.0,3.0,2.0,0
1.0,1.0,1.0,1.0,3.0,1.0,1.0,1
3.0,2.0,4.0,2.0,2.0,2.0,4.0,0
4.0,3.0,2.0,2.0,2.0,1.0,2.0,0
4.0,4.0,2.0,2.0,2.0,2.0,2.0,0
1.0,1.0,2.0,3.0,1.0,1.0,2.0,0
,3.0,1.0,1.0,1.0,1.0,1.0,1
,,2.0,2.0,1.0,1.0,2.0,0
,,2.0,2.0,3.0,1.0,2.0,0
,,3.0,2.0,3.0,3.0,3.0,0
1.0,2.0,4.0,2.0,3.0,1.0,4.0,0
3.0,4.0,3.0,3.0,3.0,1.0,3.0,0
3.0,3.0,1.0,1.0,4.0,1.0,1.0,1
,,2.0,2.0,3.0,1.0,2.0,0
,,3.0,2.0,3.0,1.0,3.0,0
1.0,1.0,3.0,1.0,4.0,1.0,3.0,1
3.0,3.0,3.0,2.0,3.0,1.0,3.0,0
,,2.0,2.0,3.0,1.0,2.0,0
,,2.0,2.0,3.0,1.0,2.0,0
3.0,3.0,2.0,1.0,2.0,2.0,2.0,1
,,2.0,2.0,3.0,3.0,2.0,0
,,2.0,2.0,3.0,1.0,2.0,0
1.0,3.0,3.0,2.0,4.0,1.0,3.0,0
,3.0,1.0,2.0,4.0,1.0,1.0,0
,,2.0,2.0,3.0,1.0,2.0,0
,,3.0,2.0,3.0,1.0,3.0,0
,,2.0,2.0,3.0,1.0,2.0,0
3.0,3.0,3.0,2.0,3.0,1.0,3.0,0
,,3.0,2.0,3.0,1.0,3.0,0
,,3.0,2.0,3.0,1.0,3.0,0
,,2.0,2.0,1.0,3.0,2.0,0
,,2.0,2.0,3.0,1.0,2.0,0
2.0,1.0,3.0,2.0,3.0,1.0,3.0,0
1.0,1.0,1.0,1.0,2.0,1.0,1.0,1
,3.0,1.0,2.0,3.0,2.0,1.0,0
3.0,3.0,4.0,1.0,1.0,1.0,4.0,1
3.0,3.0,2.0,1.0,4.0,2.0,2.0,1
2.0,4.0,1.0,3.0,3.0,1.0,1.0,0
2.0,2.0,1.0,3.0,3.0,1.0,1.0,0
2.0,2.0,3.0,2.0,2.0,1.0,3.0,0
2.0,2.0,3.0,2.0,2.0,1.0,3.0,0
2.0,2.0,3.0,2.0,2.0,1.0,3.0,0
2.0,2.0,4.0,2.0,2.0,1.0,4.0,0
2.0,3.0,3.0,2.0,2.0,1.0,3.0,0
2.0,1.0,3.0,2.0,2.0,1.0,3.0,0
2.0,2.0,3.0,2.0,2.0,1.0,3.0,0
2.0,2.0,3.0,3.0,2.0,1.0,3.0,0
2.0,2.0,3.0,2.0,2.0,1.0,3.0,0
2.0,2.0,3.0,2.0,3.0,1.0,3.0,0
3.0,3.0,1.0,3.0,3.0,2.0,1.0,0
1.0,1.0,5.0,1.0,3.0,1.0,5.0,1
1.0,1.0,4.0,1.0,3.0,1.0,4.0,1
1.0,1.0,5.0,1.0,3.0,1.0,5.0,1
2.0,2.0,4.0,2.0,3.0,1.0,4.0,0
2.0,2.0,4.0,2.0,3.0,1.0,4.0,0
1.0,1.0,5.0,1.0,3.0,1.0,5.0,1
1.0,1.0,5.0,1.0,3.0,1.0,5.0,1
2.0,2.0,2.0,2.0,3.0,3.0,2.0,0
3.0,2.0,2.0,2.0,3.0,1.0,2.0,0
3.0,1.0,3.0,3.0,2.0,1.0,3.0,0
1.0,1.0,4.0,1.0,3.0,1.0,4.0,1
1.0,1.0,3.0,2.0,4.0,1.0,3.0,0
2.0,1.0,4.0,1.0,3.0,1.0,4.0,1
2.0,1.0,4.0,2.0,3.0,1.0,4.0,0
2.0,,1.0,3.0,3.0,1.0,1.0,0
1.0,,1.0,3.0,4.0,3.0,1.0,0
1.0,1.0,3.0,1.0,4.0,1.0,3.0,1
,4.0,1.0,2.0,1.0,1.0,1.0,0
,,1.0,3.0,2.0,1.0,1.0,0
2.0,2.0,3.0,1.0,3.0,2.0,3.0,1
1.0,1.0,2.0,2.0,2.0,1.0,2.0,0
2.0,3.0,4.0,2.0,3.0,1.0,4.0,0
1.0,2.0,2.0,1.0,2.0,2.0,2.0,1
4.0,4.0,3.0,2.0,3.0,1.0,3.0,0
2.0,3.0,3.0,2.0,3.0,1.0,3.0,0
,,3.0,2.0,3.0,1.0,3.0,0
1.0,2.0,2.0,3.0,3.0,1.0,2.0,0
3.0,3.0,3.0,1.0,2.0,1.0,3.0,1
3.0,4.0,1.0,2.0,4.0,1.0,1.0,0
4.0,4.0,2.0,2.0,3.0,1.0,2.0,0
3.0,4.0,2.0,2.0,3.0,1.0,2.0,0
3.0,3.0,2.0,1.0,3.0,3.0,2.0,1
2.0,2.0,4.0,2.0,3.0,1.0,4.0,0
1.0,4.0,4.0,2.0,1.0,1.0,4.0,0
2.0,2.0,1.0,1.0,4.0,1.0,1.0,1
1.0,4.0,3.0,2.0,1.0,3.0,3.0,0
3.0,3.0,1.0,3.0,3.0,1.0,1.0,0
2.0,2.0,2.0,2.0,4.0,1.0,2.0,0
,4.0,2.0,2.0,3.0,1.0,2.0,0
3.0,3.0,1.0,1.0,3.0,1.0,1.0,1
2.0,2.0,3.0,2.0,3.0,1.0,3.0,0
1.0,,1.0,1.0,3.0,1.0,1.0,1
,,1.0,1.0,2.0,1.0,1.0,1
4.0,3.0,2.0,1.0,2.0,1.0,2.0,1
2.0,4.0,1.0,2.0,3.0,1.0,1.0,0
1.0,2.0,2.0,1.0,2.0,1.0,2.0,1
,,3.0,2.0,3.0,1.0,3.0,0
,2.0,4.0,2.0,3.0,1.0,4.0,0
2.0,2.0,4.0,2.0,3.0,1.0,4.0,0
4.0,3.0,2.0,2.0,3.0,1.0,2.0,0
3.0,4.0,2.0,1.0,3.0,1.0,2.0,1
3.0,3.0,1.0,3.0,3.0,1.0,1.0,0
3.0,2.0,2.0,1.0,3.0,1.0,2.0,1
1.0,1.0,2.0,1.0,2.0,1.0,2.0,1
2.0,2.0,1.0,1.0,4.0,1.0,1.0,1
3.0,3.0,1.0,1.0,3.0,1.0,1.0,1
3.0,3.0,1.0,3.0,3.0,3.0,1.0,0
2.0,3.0,2.0,2.0,1.0,1.0,2.0,0
3.0,,2.0,1.0,3.0,1.0,2.0,1
,,3.0,2.0,2.0,2.0,3.0,0
3.0,3.0,2.0,1.0,4.0,1.0,2.0,1
3.0,4.0,4.0,3.0,3.0,1.0,4.0,0
3.0,3.0,2.0,3.0,3.0,1.0,2.0,0
3.0,3.0,1.0,1.0,3.0,1.0,1.0,1
3.0,2.0,2.0,3.0,3.0,1.0,2.0,0
3.0,3.0,1.0,3.0,1.0,2.0,1.0,0
3.0,3.0,3.0,3.0,3.0,1.0,3.0,0
3.0,3.0,2.0,3.0,3.0,1.0,2.0,0
1.0,3.0,1.0,1.0,4.0,1.0,1.0,1
2.0,2.0,1.0,1.0,3.0,1.0,1.0,1
3.0,3.0,2.0,3.0,3.0,1.0,2.0,0
3.0,2.0,3.0,3.0,3.0,1.0,3.0,0
1.0,1.0,3.0,2.0,3.0,1.0,3.0,0
2.0,1.0,2.0,3.0,3.0,1.0,2.0,0
2.0,2.0,3.0,2.0,3.0,1.0,3.0,0
3.0,2.0,4.0,2.0,4.0,1.0,4.0,0
3.0,3.0,3.0,3.0,2.0,1.0,3.0,0
4.0,4.0,3.0,1.0,4.0,1.0,3.0,1
3.0,3.0,2.0,3.0,3.0,1.0,2.0,0
1.0,1.0,1.0,1.0,4.0,1.0,1.0,1
3.0,3.0,1.0,1.0,2.0,1.0,1.0,1
4.0,4.0,3.0,3.0,2.0,1.0,3.0,0
1.0,1.0,1.0,1.0,4.0,1.0,1.0,1
3.0,2.0,4.0,2.0,2.0,1.0,4.0,0
3.0,4.0,2.0,2.0,2.0,1.0,2.0,0
,3.0,2.0,1.0,3.0,1.0,2.0,1
3.0,3.0,3.0,2.0,2.0,1.0,3.0,0
1.0,1.0,1.0,1.0,3.0,1.0,1.0,1
1.0,1.0,1.0,1.0,4.0,3.0,1.0,1
3.0,3.0,3.0,1.0,3.0,3.0,3.0,1
3.0,3.0,4.0,2.0,3.0,3.0,4.0,0
3.0,3.0,2.0,1.0,3.0,1.0,2.0,1
,,3.0,2.0,3.0,1.0,3.0,0
2.0,1.0,2.0,2.0,3.0,1.0,2.0,0
2.0,2.0,2.0,2.0,3.0,1.0,2.0,0
2.0,2.0,2.0,2.0,3.0,1.0,2.0,0
2.0,4.0,3.0,3.0,3.0,1.0,3.0,0
2.0,2.0,2.0,2.0,3.0,1.0,2.0,0
4.0,4.0,3.0,2.0,4.0,1.0,3.0,0
2.0,2.0,2.0,2.0,3.0,1.0,2.0,0
2.0,1.0,2.0,2.0,3.0,1.0,2.0,0
2.0,2.0,4.0,1.0,3.0,3.0,4.0,1
2.0,2.0,2.0,2.0,3.0,1.0,2.0,0
,,1.0,1.0,2.0,3.0,1.0,1
2.0,2.0,2.0,2.0,3.0,1.0,2.0,0
2.0,2.0,2.0,2.0,3.0,1.0,2.0,0
2.0,2.0,2.0,2.0,3.0,1.0,2.0,0
,,1.0,3.0,2.0,1.0,1.0,0
1.0,,3.0,2.0,3.0,1.0,3.0,0
3.0,3.0,2.0,1.0,3.0,1.0,2.0,1
3.0,3.0,3.0,2.0,2.0,2.0,3.0,0
1.0,3.0,2.0,3.0,3.0,1.0,2.0,0
,4.0,4.0,1.0,2.0,3.0,4.0,1
2.0,2.0,3.0,3.0,3.0,1.0,3.0,0
2.0,1.0,4.0,1.0,3.0,1.0,4.0,1
,,5.0,2.0,2.0,1.0,5.0,0
1.0,,2.0,2.0,3.0,1.0,2.0,0
2.0,2.0,2.0,1.0,2.0,1.0,2.0,1
1.0,1.0,2.0,2.0,4.0,2.0,2.0,0
1.0,2.0,2.0,2.0,3.0,1.0,2.0,0
1.0,2.0,2.0,1.0,3.0,1.0,2.0,1
1.0,1.0,4.0,1.0,3.0,1.0,4.0,1
1.0,1.0,5.0,1.0,3.0,1.0,5.0,1
1.0,1.0,5.0,1.0,3.0,1.0,5.0,1
1.0,1.0,4.0,1.0,3.0,1.0,4.0,1
2.0,2.0,2.0,1.0,3.0,1.0,2.0,1
2.0,1.0,5.0,1.0,3.0,1.0,5.0,1
1.0,1.0,5.0,1.0,3.0,1.0,5.0,1
1.0,1.0,5.0,1.0,3.0,1.0,5.0,1
1.0,1.0,5.0,1.0,3.0,1.0,5.0,1
1.0,1.0,5.0,1.0,3.0,1.0,5.0,1
1.0,1.0,5.0,1.0,3.0,1.0,5.0,1
1.0,1.0,5.0,1.0,3.0,1.0,5.0,1
1.0,1.0,5.0,1.0,3.0,1.0,5.0,1
1.0,1.0,5.0,1.0,3.0,1.0,5.0,1
3.0,3.0,2.0,1.0,1.0,1.0,2.0,1
3.0,3.0,2.0,3.0,3.0,1.0,2.0,0
3.0,3.0,1.0,3.0,1.0,3.0,1.0,0
2.0,3.0,2.0,2.0,3.0,1.0,2.0,0
2.0,2.0,3.0,3.0,3.0,1.0,3.0,0
1.0,2.0,3.0,2.0,3.0,1.0,3.0,0
3.0,2.0,1.0,1.0,3.0,1.0,1.0,1
2.0,3.0,2.0,2.0,3.0,1.0,2.0,0
1.0,3.0,4.0,2.0,3.0,1.0,4.0,0
3.0,3.0,2.0,3.0,2.0,1.0,2.0,0
,,,,,,,
3.0,2.0,3.0,2.0,3.0,1.0,3.0,0
,,3.0,1.0,3.0,1.0,3.0,1
2.0,2.0,2.0,2.0,3.0,1.0,2.0,0
1.0,1.0,5.0,1.0,3.0,1.0,5.0,1
,,3.0,1.0,3.0,1.0,3.0,1
1.0,2.0,3.0,2.0,3.0,1.0,3.0,0
3.0,2.0,3.0,2.0,3.0,1.0,3.0,0
4.0,4.0,1.0,3.0,4.0,1.0,1.0,0
,,2.0,1.0,3.0,1.0,2.0,1
3.0,4.0,2.0,1.0,2.0,1.0,2.0,1
1.0,1.0,2.0,2.0,4.0,1.0,2.0,0
3.0,2.0,2.0,1.0,3.0,1.0,2.0,1
2.0,2.0,2.0,3.0,4.0,1.0,2.0,0
3.0,3.0,2.0,2.0,3.0,1.0,2.0,0
3.0,3.0,2.0,1.0,2.0,2.0,2.0,1
3.0,4.0,1.0,3.0,3.0,1.0,1.0,0
4.0,2.0,1.0,1.0,4.0,1.0,1.0,1
3.0,2.0,1.0,1.0,3.0,1.0,1.0,1
3.0,3.0,3.0,2.0,3.0,1.0,3.0,0
3.0,3.0,3.0,1.0,3.0,2.0,3.0,1
,,3.0,1.0,2.0,1.0,3.0,1
3.0,2.0,3.0,1.0,3.0,1.0,3.0,1
2.0,3.0,2.0,2.0,3.0,1.0,2.0,0
,,2.0,2.0,4.0,1.0,2.0,0
1.0,2.0,2.0,1.0,3.0,1.0,2.0,1
2.0,2.0,1.0,1.0,3.0,3.0,1.0,1
1.0,1.0,2.0,2.0,3.0,1.0,2.0,0
3.0,3.0,1.0,2.0,2.0,1.0,1.0,0
,,1.0,3.0,2.0,2.0,1.0,0
1.0,3.0,3.0,2.0,3.0,1.0,3.0,0
3.0,3.0,1.0,3.0,3.0,1.0,1.0,0
,,3.0,2.0,1.0,1.0,3.0,0
3.0,3.0,2.0,3.0,1.0,1.0,2.0,0
2.0,,2.0,1.0,2.0,3.0,2.0,1
3.0,2.0,3.0,1.0,4.0,3.0,3.0,1
1.0,1.0,2.0,3.0,3.0,1.0,2.0,0
3.0,3.0,3.0,2.0,4.0,1.0,3.0,0
4.0,4.0,2.0,2.0,3.0,3.0,2.0,0
1.0,1.0,1.0,3.0,4.0,1.0,1.0,0
2.0,3.0,2.0,2.0,3.0,1.0,2.0,0
2.0,2.0,4.0,2.0,3.0,1.0,4.0,0
2.0,2.0,2.0,1.0,3.0,1.0,2.0,1
2.0,2.0,2.0,1.0,2.0,1.0,2.0,1
3.0,,3.0,2.0,2.0,1.0,3.0,0
,2.0,3.0,2.0,2.0,3.0,3.0,0
3.0,2.0,3.0,2.0,2.0,1.0,3.0,0
4.0,4.0,2.0,2.0,3.0,3.0,2.0,0
1.0,1.0,1.0,1.0,3.0,1.0,1.0,1
2.0,2.0,2.0,1.0,3.0,1.0,2.0,1
3.0,3.0,3.0,1.0,3.0,1.0,3.0,1
3.0,2.0,2.0,2.0,3.0,1.0,2.0,0
2.0,3.0,4.0,2.0,3.0,1.0,4.0,0
3.0,4.0,4.0,2.0,4.0,1.0,4.0,0
4.0,4.0,1.0,1.0,3.0,1.0,1.0,1
2.0,1.0,2.0,2.0,3.0,1.0,2.0,0
2.0,2.0,3.0,2.0,2.0,1.0,3.0,0
2.0,2.0,2.0,2.0,2.0,1.0,2.0,0
3.0,3.0,2.0,2.0,3.0,1.0,2.0,0
2.0,2.0,2.0,2.0,3.0,1.0,2.0,0
2.0,2.0,4.0,2.0,1.0,1.0,4.0,0
1.0,2.0,1.0,3.0,4.0,1.0,1.0,0
4.0,3.0,4.0,2.0,3.0,1.0,4.0,0
3.0,3.0,3.0,1.0,3.0,1.0,3.0,1
2.0,3.0,2.0,2.0,1.0,1.0,2.0,0
3.0,2.0,2.0,3.0,3.0,1.0,2.0,0
2.0,3.0,1.0,3.0,3.0,1.0,1.0,0
2.0,3.0,2.0,2.0,3.0,1.0,2.0,0
2.0,2.0,3.0,3.0,2.0,1.0,3.0,0
3.0,2.0,3.0,2.0,2.0,1.0,3.0,0
3.0,2.0,3.0,2.0,3.0,1.0,3.0,0
3.0,3.0,4.0,3.0,3.0,1.0,4.0,0
1.0,1.0,2.0,2.0,2.0,3.0,2.0,0
1.0,,1.0,3.0,3.0,2.0,1.0,0
2.0,2.0,1.0,1.0,3.0,1.0,1.0,1
3.0,4.0,1.0,3.0,1.0,1.0,1.0,0
2.0,2.0,1.0,1.0,3.0,1.0,1.0,1
4.0,4.0,1.0,3.0,3.0,1.0,1.0,0
4.0,3.0,1.0,3.0,3.0,1.0,1.0,0
3.0,3.0,3.0,2.0,3.0,1.0,3.0,0
2.0,2.0,3.0,2.0,1.0,3.0,3.0,0
3.0,4.0,1.0,3.0,3.0,1.0,1.0,0
2.0,2.0,2.0,1.0,3.0,1.0,2.0,1
2.0,2.0,3.0,2.0,1.0,1.0,3.0,0
3.0,3.0,1.0,3.0,3.0,1.0,1.0,0
1.0,2.0,2.0,1.0,3.0,3.0,2.0,1
2.0,2.0,3.0,1.0,4.0,1.0,3.0,1
3.0,4.0,1.0,1.0,3.0,1.0,1.0,1
2.0,3.0,1.0,2.0,3.0,3.0,1.0,0
2.0,2.0,2.0,1.0,3.0,2.0,2.0,1
3.0,3.0,3.0,1.0,3.0,2.0,3.0,1
1.0,1.0,4.0,2.0,2.0,1.0,4.0,0
2.0,2.0,3.0,2.0,1.0,1.0,3.0,0
3.0,,2.0,3.0,3.0,3.0,2.0,0
4.0,4.0,2.0,2.0,3.0,1.0,2.0,0
4.0,4.0,2.0,1.0,3.0,1.0,2.0,1
1.0,2.0,1.0,1.0,3.0,1.0,1.0,1
3.0,3.0,1.0,2.0,3.0,1.0,1.0,0
3.0,4.0,1.0,3.0,3.0,1.0,1.0,0
1.0,1.0,2.0,1.0,2.0,1.0,2.0,1
2.0,2.0,2.0,3.0,3.0,2.0,2.0,0
1.0,2.0,4.0,1.0,3.0,1.0,4.0,1
2.0,3.0,3.0,1.0,2.0,1.0,3.0,1
2.0,2.0,4.0,2.0,3.0,1.0,4.0,0
2.0,3.0,1.0,3.0,4.0,1.0,1.0,0
,3.0,3.0,1.0,3.0,3.0,3.0,1
3.0,3.0,3.0,1.0,3.0,3.0,3.0,1
3.0,4.0,4.0,2.0,3.0,1.0,4.0,0
2.0,2.0,3.0,2.0,3.0,1.0,3.0,0
1.0,3.0,2.0,3.0,3.0,1.0,2.0,0
1.0,1.0,3.0,3.0,2.0,1.0,3.0,0
1.0,2.0,2.0,2.0,3.0,1.0,2.0,0
,,2.0,2.0,3.0,1.0,2.0,0
,4.0,3.0,1.0,4.0,1.0,3.0,1
1.0,2.0,3.0,2.0,3.0,1.0,3.0,0
1.0,4.0,2.0,2.0,3.0,1.0,2.0,0
1.0,,3.0,1.0,3.0,2.0,3.0,1
2.0,2.0,1.0,1.0,3.0,1.0,1.0,1
2.0,2.0,2.0,1.0,3.0,1.0,2.0,1
,,2.0,2.0,3.0,1.0,2.0,0
2.0,2.0,3.0,2.0,3.0,1.0,3.0,0
3.0,3.0,2.0,1.0,3.0,1.0,2.0,1
4.0,3.0,2.0,2.0,3.0,3.0,2.0,0
1.0,1.0,4.0,1.0,2.0,3.0,4.0,1
1.0,2.0,2.0,1.0,4.0,2.0,2.0,1
1.0,,3.0,2.0,4.0,1.0,3.0,0
4.0,4.0,1.0,1.0,3.0,3.0,1.0,1
1.0,2.0,2.0,1.0,3.0,3.0,2.0,1
2.0,2.0,3.0,1.0,1.0,3.0,3.0,1
1.0,1.0,3.0,1.0,3.0,1.0,3.0,1
1.0,1.0,3.0,2.0,2.0,3.0,3.0,0
